Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","1985","1985","ha","12300","E","Valeur estimée"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","1986","1986","ha","12300","E","Valeur estimée"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","1987","1987","ha","12300","E","Valeur estimée"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","1988","1988","ha","13100","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","1989","1989","ha","13400","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","1990","1990","ha","13500","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","1991","1991","ha","13900","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","1992","1992","ha","13500","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","1993","1993","ha","14300","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","1994","1994","ha","14500","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","1995","1995","ha","13700","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","1996","1996","ha","13800","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","1997","1997","ha","13800","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","1998","1998","ha","13600","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","1999","1999","ha","13927","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2000","2000","ha","13921","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2001","2001","ha","13700","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2002","2002","ha","12500","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2003","2003","ha","12580","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2004","2004","ha","12490","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2005","2005","ha","12000","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2006","2006","ha","11750","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2007","2007","ha","11341","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2008","2008","ha","11187","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2009","2009","ha","11196","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2010","2010","ha","12244","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2011","2011","ha","12505","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2012","2012","ha","12225","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2013","2013","ha","12298","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2014","2014","ha","12360","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2015","2015","ha","12426","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2016","2016","ha","12964","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2017","2017","ha","11419","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2018","2018","ha","11153","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2019","2019","ha","11073","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5312","Superficie récoltée","01343","Abricots","2020","2020","ha","10594","A","Chiffre officiel"
"QCL","Cultures et produits animaux","504","Maroc","5419","Rendement","01343","Abricots","1985","1985","hg/ha","59350","E","Valeur estimée"
"QCL","Cultures et produits animaux","504","Maroc","5419","Rendement","01343","Abricots","1986","1986","hg/ha","59350","E","Valeur estimée"
"QCL","Cultures et produits animaux","504","Maroc","5419","Rendement","01343","Abricots","1987","1987","hg/ha","59350","I","Valeur imputée"
"QCL","Cultures et produits animaux","504","Maroc","5419","Rendement","01343","Abricots","1988","1988","hg/ha","70229","E","Valeur estimée"
"QCL","Cultures et produits animaux","504","Maroc","5419","Rendement","01343","Abricots","1989","1989","hg/ha","60448","E","Valeur estimée"
"QCL","Cultures et produits animaux","504","Maroc","5419","Rendement","01343","Abricots","1990","1990","hg/ha","54593","E","Valeur estimée"
"QCL","Cultures et produits animaux","504","Maroc","5419","Rendement","01343","Abricots","1991","1991","hg/ha","66331","E","Valeur estimée"
"QCL","Cultures et produits animaux","504","Maroc","5419","Rendement","01343","Abricots","1992","1992","hg/ha","48889","E","Valeur estimée"
"QCL","Cultures et produits animaux","504","Maroc","5419","Rendement","01343","Abricots","1993","1993","hg/ha","83916","E","Valeur estimée"
"QCL","Cultures et produits animaux","504","Maroc","5419","Rendement","01343","Abricots","1994","1994","hg/ha","60690","E","Valeur estimée"
"QCL","Cultures et produits animaux","504","Maroc","5419","Rendement","01343","Abricots","1995","1995","hg/ha","56934","E","Valeur estimée"
"QCL","Cultures et produits animaux","504","Maroc","5419","Rendement","01343","Abricots","1996","1996","hg/ha","63841","E","Valeur estimée"
"QCL","Cultures et produits animaux","504","Maroc","5419","Rendement","01343","Abricots","1997","1997","hg/ha","75072","E","Valeur estimée"
"QCL","Cultures et produits animaux","504","Maroc","5419","Rendement","01343","Abricots","1998","1998","hg/ha","85882","E","Valeur estimée"
"QCL","Cultures et produits animaux","504","Maroc","5419","Rendement","01343","Abricots","1999","1999","hg/ha","76398","E","Valeur estimée"
