Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","1998","1998","7021","Valeur annuel","USD","587.5","X","Ciffre de sources internationales"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","1999","1999","7021","Valeur annuel","USD","604.5","X","Ciffre de sources internationales"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2000","2000","7021","Valeur annuel","USD","625.8","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2001","2001","7021","Valeur annuel","USD","599","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2002","2002","7021","Valeur annuel","USD","616.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2003","2003","7021","Valeur annuel","USD","624.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2004","2004","7021","Valeur annuel","USD","692.4","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2005","2005","7021","Valeur annuel","USD","753.5","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2006","2006","7021","Valeur annuel","USD","617.4","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2007","2007","7021","Valeur annuel","USD","865.4","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2008","2008","7021","Valeur annuel","USD","916.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2009","2009","7021","Valeur annuel","USD","896.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2010","2010","7021","Valeur annuel","USD","843.5","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2011","2011","7021","Valeur annuel","USD","881.3","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2012","2012","7021","Valeur annuel","USD","882","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2013","2013","7021","Valeur annuel","USD","847.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2014","2014","7021","Valeur annuel","USD","750.6","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2015","2015","7021","Valeur annuel","USD","684.1","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2016","2016","7021","Valeur annuel","USD","736.2","A","Chiffre officiel"
"PP","Prix à la Production","504","Maroc","5532","Prix à la Production (USD/tonne)","01312","Bananes","2017","2017","7021","Valeur annuel","USD","435.9","A","Chiffre officiel"
